,cursor,nameWithOwner,url,stargazerCount,age,releases,cbo,dit,wmc,loc
0,Y3Vyc29yOjM3OA==,react-native-svg/react-native-svg,https://github.com/react-native-svg/react-native-svg,5236,1890,73,4,2,6,7437
0,Y3Vyc29yOjM3OQ==,rabbitmq/rabbitmq-tutorials,https://github.com/rabbitmq/rabbitmq-tutorials,5226,3834,0,5,1,3,2471
0,Y3Vyc29yOjM4MA==,yixia/VitamioBundle,https://github.com/yixia/VitamioBundle,5217,3075,0,3,1,4,6501
0,Y3Vyc29yOjM4MQ==,apache/incubator-dolphinscheduler,https://github.com/apache/incubator-dolphinscheduler,5214,751,15,4.0,1.0,5.0,58575
0,Y3Vyc29yOjM4Mg==,square/otto,https://github.com/square/otto,5213,3189,0,1,1,1,1987
0,Y3Vyc29yOjM4Mw==,lightbend/config,https://github.com/lightbend/config,5212,3393,0,3.0,1.0,5.0,13143
0,Y3Vyc29yOjM4NA==,robolectric/robolectric,https://github.com/robolectric/robolectric,5205,3859,71,4.0,1.0,3.0,156258
0,Y3Vyc29yOjM4NQ==,commonsguy/cw-omnibus,https://github.com/commonsguy/cw-omnibus,5205,3296,36,4,1,3,39242
0,Y3Vyc29yOjM4Ng==,mrniko/netty-socketio,https://github.com/mrniko/netty-socketio,5191,3356,3,3,1,4,5531
0,Y3Vyc29yOjM4Nw==,haifengl/smile,https://github.com/haifengl/smile,5189,2313,22,5,1,9,103180
0,Y3Vyc29yOjM4OA==,amitshekhariitbhu/Fast-Android-Networking,https://github.com/amitshekhariitbhu/Fast-Android-Networking,5187,1826,8,2,1,2,19596
0,Y3Vyc29yOjM4OQ==,apache/zeppelin,https://github.com/apache/zeppelin,5178,2188,0,4.0,1.0,5.0,194293
0,Y3Vyc29yOjM5MA==,Clans/FloatingActionButton,https://github.com/Clans/FloatingActionButton,5168,2192,14,2,1,2,2805
0,Y3Vyc29yOjM5MQ==,Tencent/Shadow,https://github.com/Tencent/Shadow,5168,647,1,3.0,1.0,2.0,19858
0,Y3Vyc29yOjM5Mg==,ximsfei/Android-skin-support,https://github.com/ximsfei/Android-skin-support,5167,1529,0,5,1,6,21939
0,Y3Vyc29yOjM5Mw==,cryptomator/cryptomator,https://github.com/cryptomator/cryptomator,5164,2605,102,7,1,4,10125
0,Y3Vyc29yOjM5NA==,scribejava/scribejava,https://github.com/scribejava/scribejava,5145,3850,4,3,1,2,12402
0,Y3Vyc29yOjM5NQ==,hanks-zyh/HTextView,https://github.com/hanks-zyh/HTextView,5133,1919,0,2,1,3,3076
